宸纶,1.帝王的诏书﹑制令。
宸明,1.圣明。借指皇帝。
宸命,1.圣旨;皇帝的委命。
宸谟,1.帝王的谋略。
宸谋,1.帝王的谋划。
宸念,1.皇帝的思虑。
宸阙,1.指皇宫。
宸赏,"1.谓帝王的游赏。 
2.帝王的赏识﹑赞赏。"
宸声,1.皇帝的命令﹑旨意。
宸枢,1.指帝位。
宸算,1.帝王的谋略。
宸题,1.帝王的亲笔题字。
宸听,1.谓帝王的听闻。
宸网,1.帝王车上悬挂的珠饰网帘。
宸威,1.帝王的威严。
宸卫,1.帝王的仪仗﹑侍卫。
宸文,1.帝王所作之诗文。
宸象,"1.指紫微垣。 
2.借喻君王。"
宸心,1.帝王的心意。
宸轩,1.帝王所居宫室。
宸严,1.帝王的威严。亦喻指君王。
宸筵,1.帝王举行的宴会。
宸曜,1.喻指帝王的恩泽。
宸掖,1.帝王内宫。
宸仪,"1.帝王的仪仗。 
2.帝王的仪容。"
宸扆,1.借指帝廷﹑君位。扆，帝王座后的屏风。
宸音,1.皇帝的旨意或话语。
宸游,"1.亦作""宸游""。 
2.帝王之巡游。"
宸舆,1.帝王所乘车。借指皇帝。
宸宇,"1.屋檐。比喻庇荫。 
2.指帝居。"
宸垣,1.指帝京。清吴长元有《宸垣识略》一书，所记皆当时京师之事。
宸藻,1.指帝王的诗文。
宸造,1.对皇帝的敬称。
宸瞔,"1.帝王的眷注﹑恩宠。瞔，同""眷""。"
宸赠,1.皇帝的赏赐。
宸札,1.帝王的手札。
宸章,1.皇帝所作的诗文。
宸正,1.帝后之正位。
宸旨,1.帝王的旨意。
宸衷,"1.帝王的心意。 
2.偶沿用于称国家最高领导。"
宸州,1.帝京，京城。
宸瞩,1.谓帝王的注视﹑观赏。
宸注,1.帝王的关注。
莐藩,1.即知母。根状茎可入药。
莐藸,1.草名。即五味子。
晨安,1.早安。清晨的问候语。
晨步,1.清晨散步。
晨参暮礼,1.早晩参拜。
晨紁,"1.见""晨妆""。"
晨唱,1.指鸡清晨啼鸣。
晨朝,1.清晨。
晨炊,1.清晨做饭;早饭。
晨旦,1.天亮。
晨发,"1.早晨发布。 
2.清晨出发。"
晨风,"1.清晨的风。 
2.鸟名。"
晨妇,1.谓妇人干政。
晨鹄,1.鸟名。
晨祼,1.古代宗庙祭祀仪节名。
晨光,1.曙光;阳光。
晨晖,1.清晨的阳光。
晨昏,早上和晚上常做夜班令人感觉晨昏颠倒，早晚不分｜晨昏随侍在侧。
晨昏定省,"1.同""昏定晨省""。 
2.旧时指朝夕服侍慰问双亲。"
晨昏蒙影,即曙暮光”(851页)。
晨景,1.清晨的阳光。
晨暝,1.旦与夕。
晨暮,1.早晨和傍晚。
晨秦暮楚,1.犹言朝秦暮楚。比喻反复无常。
晨曲,1.清晨的歌唱;清晨的乐曲。
晨膳,1.早餐。
晨省,1.早晨向父母问安。亦指昏定晨省之礼。
晨事,1.指早晨祭祀。
晨暾,1.朝阳。
晨乌,1.初升的太阳。古代神话谓日中有乌，故以乌为日之代称。
晨夕,1.犹朝夕。旦与暮。天天;时时。
晨霞,1.朝霞。
晨星,①早晨见到的星天色微明，晨星可见。②比喻人或物的数量少寥若晨星。③天文学上专指日出以前出现在东方天空的金星、水星。
晨旭,1.朝日。
晨衙,1.早衙。谓清晨于衙署参见长官或治事。
晨烟,"1.见""晨烟""。"
晨鴈,1.晨凫，野鸭。
晨缨,"1.见""晨婴""。"
晨斋,1.僧尼朝食。
晨征,1.清晨远行。
晨钟暮鼓,"1.语本唐李咸用《山中》诗""朝钟暮鼓不到耳，明月孤云长挂情""。佛寺中晨撞钟暮击鼓以报时，后因以""晨钟暮鼓""谓时日推移。 
2.比喻令人警悟的话。"
晨轴,1.清晨出发的车辆。
谌杵,"1.谓奸诈之人伪托真诚。《管子．任法》﹕""然故谌杵习士﹐闻识博学之人不可乱也。""尹知章注﹕""杵所以毁碎于物者也。谓奸诈之人﹐伪托于谌﹐以毁君法。""一说当作""堪材""﹐谓材力强胜能任事者。郭沫若等集校引孙诒让曰﹕""'谌杵'当为'堪材'﹐皆形之误也……堪材谓材力强胜能任事者﹐与《吕览》堪士义同。"""
谌母,"1.亦作""谌姆""。 
2.古代传说中的神仙。"
谌姆,"1.见""谌母""。"
谌摰,1.诚实真挚。
谌容(1936- ),作家。原名陈德容，四川巫山人。女。曾在中央人民广播事业局任音乐编辑、俄语翻译。1973年后任中学教师。1980年起专事创作。著有中篇小说《人到中年》、《太子村的秘密》，长篇小说《光明与黑暗》，短篇小说《褪色的信》、《减去十岁》等。
谌训,1.真诚的教训。
谌义,1.信义。
霃霃,1.天色阴沉貌。
鷐风,"1.亦作""晨风""。 
2.即鹯。"
碜碜,1.阴森可怕的样子。
碜大,1.方言。形容大得惊人。
碜黩,1.混浊不清貌。
碜话,1.使人感到肉麻或令人不舒服的丑话。
碜磕磕,"1.见""碜可可""。"
碜可可,"1.亦作""碜磕磕""。 
2.凄惨可怕的样子。"
碜款,"1.亦作""碜款""。 
2.丑样子。"
碜事,1.丑事。
墋黩,1.混沌不清貌。
踸踔,"1.亦作""趻踔""。 
2.跳跃貌;跛行貌。 
3.独立特行，与众不同。 
4.迅速滋长。 
5.布散貌。 6.滞留，拘泥。 7.犹奔跃。"
踸厉,1.独行砥厉。
闯荡,离开故乡到外谋生立业。
闯祸,1.惹起灾祸;闹出乱子。
